a	ga a_c
jvanr	j_c vanr_c
jver	j_c ver_c
jvnr	j_c vnr_c
kair	k_c air_c
kanr	k_c anr_c
kaor	k_c aor_c
kengr	k_c engr_c
ker	k_c er_c
kongr	k_c ongr_c
kour	k_c our_c
kuair	k_c uair_c
kuangr	k_c uangr_c
kuanr	k_c uanr_c
kunr	k_c uenr_c
lanr	l_c anr_c
laor	l_c aor_c
lar	l_c ar_c
leir	l_c eir_c
lengr	l_c engr_c
ler	l_c er_c
liangr	l_c iangr_c
lianr	l_c ianr_c
liaor	l_c iaor_c
liar	l_c iar_c
lingr	l_c ingr_c
lir	l_c ir_c
liur	l_c iour_c
lour	l_c our_c
luor	l_c uor_c
lunr	l_c uenr_c
lur	l_c ur_c
lvr	l_c vr_c
mair	m_c air_c
manr	m_c anr_c
mangr	m_c angr_c
maor	m_c aor_c
mar	m_c ar_c
meir	m_c eir_c
menr	m_c enr_c
mianr	m_c ianr_c
miaor	m_c iaor_c
mingr	m_c ingr_c
mir	m_c ir_c
mor	m_c or_c
naor	n_c aor_c
nar	n_c ar_c
niangr	n_c iangr_c
nianr	n_c ianr_c
niaor	n_c iaor_c
ningr	n_c ingr_c
nir	n_c ir_c
niur	n_c iour_c
nvr	n_c vr_c
pair	p_c air_c
pangr	p_c angr_c
panr	p_c anr_c
paor	p_c aor_c
penr	p_c enr_c
pianr	p_c ianr_c
piaor	p_c iaor_c
pier	p_c ier_c
pingr	p_c ingr_c
pir	p_c ir_c
por	p_c or_c
pur	p_c ur_c
qianr	q_c ianr_c
qiaor	q_c iaor_c
qingr	q_c ingr_c
qir	q_c ir_c
qiur	q_c iour_c
qvanr	q_c vanr_c
qvnr	q_c vnr_c
qvr	q_c vr_c
sar	s_c ar_c
rangr	r_c angr_c
renr	r_c enr_c
sair	s_c air_c
sanr	s_c anr_c
shair	sh_c air_c
shaor	sh_c aor_c
shengr	sh_c engr_c
shenr	sh_c enr_c
shir	sh_c ihr_c
shuair	sh_c uair_c
shour	sh_c our_c
shuar	sh_c uar_c
shuir	sh_c ueir_c
shunr	sh_c uenr_c
shuor	sh_c uor_c
shur	sh_c ur_c
sir	s_c iir_c
suir	s_c ueir_c
sunr	s_c uenr_c
tair	t_c air_c
tangr	t_c angr_c
tanr	t_c anr_c
taor	t_c aor_c
ter	t_c er_c
tianr	t_c ianr_c
tiaor	t_c iaor_c
tir	t_c ir_c
tingr	t_c ingr_c
tongr	t_c ongr_c
tour	t_c our_c
tuanr	t_c uanr_c
tuir	t_c ueir_c
tuor	t_c uor_c
tur	t_c ur_c
wanr	w_c anr_c
war	w_c ar_c
weir	w_c eir_c
wenr	w_c enr_c
wengr	w_c engr_c
wor	w_c or_c
wur	w_c ur_c
xiangr	xx_c iangr_c
xianr	xx_c ianr_c
xiar	xx_c iar_c
xier	xx_c ier_c
xingr	xx_c ingr_c
xir	xx_c ir_c
xinr	xx_c inr_c
xiongr	xx_c iongr_c
xiur	xx_c iour_c
yangr	y_c angr_c
yanr	y_c anr_c
yaor	y_c aor_c
yar	y_c ar_c
yer	y_c er_c
yingr	y_c ingr_c
yinr	y_c inr_c
yir	y_c ir_c
your	y_c our_c
yvanr	y_c vanr_c
zair	z_c air_c
yvr	y_c vr_c
yver	y_c ver_c
zaor	z_c aor_c
zar	z_c ar_c
zhangr	zh_c angr_c
zhanr	zh_c anr_c
zhaor	zh_c aor_c
zhar	zh_c ar_c
zhenr	zh_c enr_c
zher	zh_c er_c
zhir	zh_c ihr_c
zhongr	zh_c ongr_c
zhour	zh_c our_c
zhuar	zh_c uar_c
zhuanr	zh_c uanr_c
zhunr	zh_c uenr_c
zhuor	zh_c uor_c
zhur	zh_c ur_c
zir	z_c iir_c
zuanr	z_c uanr_c
zuir	z_c ueir_c
zuor	z_c uor_c
